eval_batch_id,n_valid_tokens,avg_l0
0,8160,3534.68505859375
1,8160,3510.69091796875
2,8160,3552.44921875
3,8160,3572.462890625
4,8160,3619.624755859375
5,8160,3595.388916015625
6,8160,3539.125732421875
7,8160,3550.7939453125
8,8160,3539.70166015625
9,8160,3539.30615234375
10,8160,3543.869384765625
11,8160,3537.501708984375
12,8160,3548.269775390625
13,8160,3539.4755859375
14,8160,3560.735595703125
15,8160,3551.775146484375
16,8160,3543.478271484375
17,8160,3546.051513671875
18,8100,3543.074951171875
19,8057,3548.30322265625
20,8160,3555.22265625
21,8160,3552.029541015625
22,8160,3546.08447265625
23,8160,3544.56298828125
24,8160,3551.018798828125
25,8160,3544.625244140625
26,8160,3545.45458984375
27,8126,3554.3642578125
28,8160,3556.038330078125
29,8160,3562.143310546875
30,8160,3536.8154296875
31,8160,3548.854736328125
32,8160,3548.2041015625
33,8160,3549.784423828125
34,8160,3543.361572265625
35,8160,3518.651611328125
36,8160,3550.18603515625
37,8160,3549.758056640625
38,8160,3551.810546875
39,8160,3557.3056640625
40,8160,3553.517822265625
41,8126,3553.609619140625
42,8160,3550.68603515625
43,8160,3549.588623046875
44,8160,3563.420166015625
45,8160,3568.12451171875
46,8160,3563.05126953125
47,8160,3559.80224609375
48,8160,3567.245849609375
49,8160,3559.282958984375
50,8160,3560.212890625
51,8160,3552.392333984375
52,8160,3549.6748046875
53,8160,3558.000244140625
54,8160,3549.109619140625
55,8160,3560.5888671875
56,8160,3551.68115234375
57,8160,3528.254638671875
58,8160,3544.366455078125
59,8160,3521.41796875
60,8160,3522.5595703125
61,8160,3541.1787109375
62,8160,3538.615478515625
63,8160,3551.955078125
